s1_id,fp_target_id,score,s1_name,target_name,s1_addr,target_addr,country,is_s1_singleton
S1-115307211,S3-958519347,0.9899,Labhansh Professional Private Limited,labhansh merchandise,"Mumbai City, First Floor, Prospect Chambers, Annexe, 317-21, Dr. D. N. Road, Fort, Room No. 10/11, Maharashtra, Mumbai",room no 10 32 first floor prospect chambers annexe 317 21 drive d north road fort bombay mumbai city mh,India,False
S1-115959807,S2-793182531,0.9933,Industrial Chemical Works Partners,inc industrial chemical works partners,"2833 Steamboat Springs Run, Village Of Howard, WI",284 steamboat springs run village of howard wi,US,False
S1-116559766,S3-95034936,0.949,International Jagdhatri Restaurants Private Limited,international jagdhatri tools pvt,"No.5/67, Vellapillayarkoil, Vennnadur Post, Rasipuram, Namakkal, Tamil Nadu",no5 88 vellapillayarkoil vennnadur post rasipuram namakkal tn,India,False
S1-116937368,S3-421994052,0.8712,Heather Acuna Australia Group,heather acuna australia group holdings,"1201 Cedar Hill Avenue, Dallas, TX",1214 cedar hill avenue dallas texas,US,False
S1-117154955,S3-241442436,0.6689,Vision Consulting Private Limited,vision consulting pvt ltd,"Np-143, Pitampura, New Delhi, North West, Delhi",house no a new delhi dl,India,False
S1-117154955,S3-470450753,0.84,Vision Consulting Private Limited,vision pvt consulting ltd,"Np-143, Pitampura, New Delhi, North West, Delhi",,India,False
S1-117154955,S3-694567268,0.8656,Vision Consulting Private Limited,vision consulting ltd pvt,"Np-143, Pitampura, New Delhi, North West, Delhi",,India,False
S1-117573282,S3-394648963,0.8616,Diversified Biomedical Dynamics LLC,diversified biomedical dynamics ltd,"City Of Middleton, WI, 2910 Laura Lane",2911 laura lane middleton wisconsin,US,False
S1-117943308,S3-657499296,0.9854,Vital Brothers Center,vital brothers center infratech ltd,"2195 B-2Vasant Kunj, New Delhi, North Delhi, Delhi",2197 b 2vasant kunj north delhi new delhi dl,India,False
S1-118092864,S2-336020351,0.9091,Kimmel Education LLC,kimmel education holdings,"Kansas City, 4914 Budd Park Esplanade, MO",4915 budd park esplanade kansas city mo,US,False
S1-118619488,S3-54150822,0.8445,"Alaine Lopez, O.D., P.C.",alaine lopez o d pc uptown,"10927 E Avenue, Hesperia, CA",10934 east avenue hesperia california,US,False
S1-119092986,S3-234379431,0.8529,Shyam Solutions Private Limited,shyam solutions pvt ltd,"No. 1764, 1St Cross, Vasantham Colony, Anna Nagar, Chennai, Tamil Nadu",,India,False
S1-119092986,S3-308585105,0.8529,Shyam Solutions Private Limited,shyam solutions pvt ltd,"No. 1764, 1St Cross, Vasantham Colony, Anna Nagar, Chennai, Tamil Nadu",,India,False
S1-119141558,S3-323092730,0.8458,Sree Charitable Trust,sree charitable trust co,"C-6, 7, 8 & 9, Site No. - 1, Industrial Area, Haripur Jalalabad, Lucknow-Faizabad Road, Faizabad, Uttar Pradesh",,India,False
S1-119141558,S3-462437722,0.8458,Sree Charitable Trust,sree charitable trust co,"C-6, 7, 8 & 9, Site No. - 1, Industrial Area, Haripur Jalalabad, Lucknow-Faizabad Road, Faizabad, Uttar Pradesh",,India,False
S1-119141558,S2-351602706,0.9982,Sree Charitable Trust,sree charitable trust industries co,"C-6, 7, 8 & 9, Site No. - 1, Industrial Area, Haripur Jalalabad, Lucknow-Faizabad Road, Faizabad, Uttar Pradesh",door no 187 c 17 7 8 9 site no 1 industrial area haripur jalalabad lucknow faizabad road uttar pradesh,India,False
S1-119493548,S2-113587507,0.9931,Global Pooja Hudson Private Limited,global pooja farmer pvt ltd,"Govindanaickem Palayam, Komarayee Valasu, Modakurichi, Erode, Tamil Nadu",no 51 govindanaickem palayam komarayee valasu modakurichi erode tamil nadu,India,False
S1-119728229,S2-811146307,0.8913,Eastern Trading Private Limited,eastern trading ltd pvt,"Gurgaon, D-1102, Gurugram, Wembley Estate, Rosewood City, Sector - 49, Haryana",,India,False
S1-119728229,S2-418540634,0.8803,Eastern Trading Private Limited,eastern trading pvt ltd,"Gurgaon, D-1102, Gurugram, Wembley Estate, Rosewood City, Sector - 49, Haryana",,India,False
S1-119728229,S3-876013234,0.8098,Eastern Trading Private Limited,eastern trading pvt ltd,"Gurgaon, D-1102, Gurugram, Wembley Estate, Rosewood City, Sector - 49, Haryana",28 bharuch gj,India,False
S1-119728229,S2-444900570,0.8803,Eastern Trading Private Limited,eastern trading pvt ltd,"Gurgaon, D-1102, Gurugram, Wembley Estate, Rosewood City, Sector - 49, Haryana",,India,False
S1-119752356,S2-12653648,0.8803,Crespo Corporation,crespo corp,"8955 Heights Drive, Sandy City, UT",,US,False
S1-121151432,S3-529315945,0.9999,Cardiology Express Partners Care,ltd cardiology express partners care,"N51W34861 Wisconsin Avenue, Unit Unit 2110, Village Of Lac La Belle, WI",n51w34865 wisconsin avenue unit unit 2110 village of lac la belle wisconsin,US,False
S1-121371623,S3-191199305,0.9735,Robb & Smith Global LLC,robb and smíth global ltd,"125 Glendover Drive, Elizabethtown, KY",129 glendover drive elizabethtown kentucky,US,False
S1-121886594,S3-900116695,0.8529,Bombay Business Pvt Ltd,bombay business pvt ltd,"Mumbai City, Basement 14 Silver Beach Estate, A. B. Nair Road, Santacruz (W), Juhu, Mumbai, Maharashtra",,India,False
S1-121886594,S3-180060113,0.8529,Bombay Business Pvt Ltd,bombay business pvt ltd,"Mumbai City, Basement 14 Silver Beach Estate, A. B. Nair Road, Santacruz (W), Juhu, Mumbai, Maharashtra",,India,False
S1-122592013,S2-101748369,0.9154,Ivrcl Infotech (India) Private Limited,ivrcl infotech india holdings pvt,"At-Maulabagh Ara Ps-Ara Nawada, Ara, Bhojpur, Bihar",house no a 3 at maulabagh ara ps ara nawada ara null bihar,India,False
S1-123363410,S3-794997382,0.8529,Shivam Solutions Private Limited,shivam solutions pvt ltd,"C-362, Prodyogiki Plot-11, Sector-3, Dwarka, New Delhi, Delhi",,India,False
S1-123546782,S3-401759198,0.827,Jain Consultants Private Limited,jain consultants pvt ltd,"A.P. Heights, Behind Gopal Cultural Hall Osmanpura, Aurangabad, Maharashtra",2639 sangli महाराष्ट्र,India,False
S1-123820275,S2-814238855,0.8349,Hari Media Private Limited,hari media public ltd,"Plot No G-37-B, Ground Floor Raj Nagar Ii Palam Colony, New Delhi, Delhi",plot no g 5 8 b ground floor raj nagar ii palam colony new delhi delhi,India,False
S1-123921786,S2-809578257,0.8803,Environmental Council,environmental council,"47520 Gallatin Road, Unit UNIT 2D, Gallatin Gateway, MT",,US,False
S1-124263855,S3-255908167,0.9818,Dental Blue Associates,dental blue associates llc,"Chaska, 423 Ash Street, MN",434 ash street po box 8707 chaska minnesota,US,False
S1-124728281,S2-218614378,0.9058,Gonzalez Medical Center P.C.,gonzalez medical center,"92 Lost Lake Drive, Patterson, NY",,US,False
S1-124728281,S3-199404453,0.8419,Gonzalez Medical Center P.C.,gonzalez medical center ltd,"92 Lost Lake Drive, Patterson, NY",94 lost lake drive patterson new york,US,False
S1-124785632,S3-214791320,0.9951,Innovative Diagnostic Systems,innovative diagnostic systéms co,"318 4350, Ogden, UT",321 4350 ogden utah,US,True
S1-12485976,S2-457228747,0.9864,Blue Seafood of Warrenton Town,blue seafood of warrenton town co,"99 Leeds Court, Unit UNIT C, Warrenton Town, VA",103 leeds court wrarenton cdp va,US,False
