s1_id,fn_target_id,score_if_candidate,s1_name,target_name,s1_addr,target_addr,country,was_in_candidates
S1-100845178,S2-724064461,NOT_IN_CANDIDATES,Nasik Wizards,nasik services,"Nasik, P/No.87. Sr No.799 Chowk No.04, Govind Nagar, Nashik, Maharashtra, Flat No.02. Shri Ganesh Hight",flat no002 shri ganesh hight p no87 sr no799 chowk no04 govind nagar nasik महाराष्ट्र,India,False
S1-100912644,S2-421710658,NOT_IN_CANDIDATES,Shweta & Sons Private Limited,mr shweta and sons pvt ltd,"E 403 Ravi Estate Off, Pokhran Road No 1 Thane, Thane, Maharashtra",404 east 403 ravi estate off pokhran road no 1 thane thane महाराष्ट्र,India,False
S1-100912644,S3-690228247,NOT_IN_CANDIDATES,Shweta & Sons Private Limited,smt shweta and sons pvt ltd,"E 403 Ravi Estate Off, Pokhran Road No 1 Thane, Thane, Maharashtra",east 403 ravi estate off thane mh,India,False
S1-100912644,S2-233860136,NOT_IN_CANDIDATES,Shweta & Sons Private Limited,mr shweta sons and pvt ltd,"E 403 Ravi Estate Off, Pokhran Road No 1 Thane, Thane, Maharashtra",404 east 403 ravi estate off pokhran road no 1 thane thane महाराष्ट्र,India,False
S1-101014338,S3-908315962,NOT_IN_CANDIDATES,My Products Private Limited,ಮೈ ಪ್ರೊಡಕ್ಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Door No. 5-106 (93), Shop No. F24, First Floor Canara Trade Centre, Near Market, Moodbidri, Dakshina Kannada, Karnataka",a 5 106 93 shop no f24 first floor canara trade centre near market moodbidri dakshina kannada ka,India,False
S1-101014338,S2-672349725,NOT_IN_CANDIDATES,My Products Private Limited,ಮೈ ಪ್ರೊಡಕ್ಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Door No. 5-106 (93), Shop No. F24, First Floor Canara Trade Centre, Near Market, Moodbidri, Dakshina Kannada, Karnataka",door no 5 106 93 shop no f24 first floor canara trade centre near market moodbidri dakshina kannada karnataka,India,False
S1-101014338,S2-252737983,NOT_IN_CANDIDATES,My Products Private Limited,ಮೈ ಪ್ರೊಡಕ್ಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Door No. 5-106 (93), Shop No. F24, First Floor Canara Trade Centre, Near Market, Moodbidri, Dakshina Kannada, Karnataka",moodbidri dakshina kannada door no 5 106 93 ಕರ್ನಾಟಕ,India,False
S1-101014338,S2-727264842,NOT_IN_CANDIDATES,My Products Private Limited,my products ltd services,"Door No. 5-106 (93), Shop No. F24, First Floor Canara Trade Centre, Near Market, Moodbidri, Dakshina Kannada, Karnataka",house no 5 106 93 shop no f24 first floor canara trade centre near market moodbidri ಕರ್ನಾಟಕ,India,False
S1-101148422,S2-854605181,NOT_IN_CANDIDATES,Integrated Agricultural International LP,integratedagriculturalinternational com,"204 Anthony Court, Montgomery Township, PA",204 anthony court north wales pa,US,False
S1-101148422,S3-896356458,NOT_IN_CANDIDATES,Integrated Agricultural International LP,integrated agricurtural international lp,"204 Anthony Court, Montgomery Township, PA",anthony court montgomery township pennsylvania,US,False
S1-101148422,S2-23723939,NOT_IN_CANDIDATES,Integrated Agricultural International LP,integratedagriculturalinternational com,"204 Anthony Court, Montgomery Township, PA",204 anthony court north wales pa,US,False
S1-101363800,S3-132203524,NOT_IN_CANDIDATES,City Media Private Limited,सिटी मीडिया प्राइवेट लिमिटेड,"2888, First Floor, Sirkiwalan, Delhi, Central Delhi, Delhi",2888 new delhi central delhi दिल्ली,India,False
S1-101363800,S3-881969663,NOT_IN_CANDIDATES,City Media Private Limited,nexzeph f k a city media pvt ltd,"2888, First Floor, Sirkiwalan, Delhi, Central Delhi, Delhi",2888 first floor sirkiwalan delhi central delhi delhi,India,False
S1-101363800,S2-841407564,NOT_IN_CANDIDATES,City Media Private Limited,सिटी मीडिया प्राइवेट लिमिटेड,"2888, First Floor, Sirkiwalan, Delhi, Central Delhi, Delhi",no 00906 2888 first floor sirkiwalan delhi central delhi delhi,India,False
S1-101512606,S3-749534462,NOT_IN_CANDIDATES,Vijayalakshmi Law Chambers,vlchambers com,"1 Babu Dham Complex Ramghat Road, Aligarh, Uttar Pradesh",house no 5 1 babu dham complex ramghat road aligarh up,India,False
S1-101552998,S2-734537719,NOT_IN_CANDIDATES,Ek Online Private Limited,dr ek onliie pvt ltd,"Flora Ixora, Wing-B, 802, Near Nirmal School, Opp. Swagat Hall, Ravapar Road, Canal Road, Morvi, Morbi, Morbi, Rajkot, Gujarat",flora ixora wing b 802 near nirmal school opposite swagat hall ravapar road canal road morvi morbi morbi gujarat,India,False
S1-101700216,S2-924414785,NOT_IN_CANDIDATES,Cure Hypnosis,cure hypnosis 4317638189,"Morgantown, 472 Meridan Street, WV",meridan street morgantown wv,US,False
S1-101700216,S3-723572825,NOT_IN_CANDIDATES,Cure Hypnosis,cure hypnosis,"Morgantown, 472 Meridan Street, WV",472 meridan street morgantown west virginia,US,False
S1-101700216,S2-805380938,NOT_IN_CANDIDATES,Cure Hypnosis,cure cure hypnÓsis lp,"Morgantown, 472 Meridan Street, WV",,US,False
S1-101700216,S3-263239679,NOT_IN_CANDIDATES,Cure Hypnosis,cure hypnósis,"Morgantown, 472 Meridan Street, WV",472 meridan street morgantown west virginia,US,False
S1-101825314,S2-113357750,NOT_IN_CANDIDATES,Digital Consultants Private Limited,privateconsultants com,"Fl. E-202, Park Xpress, Baner Balewadi Link Road, Pune City, Pune, Maharashtra",floor east 202 pune city pune maharashtra,India,False
S1-101825314,S2-173046145,NOT_IN_CANDIDATES,Digital Consultants Private Limited,डिजिटल कंसल्टेंट्स प्राइवेट लिमिटेड,"Fl. E-202, Park Xpress, Baner Balewadi Link Road, Pune City, Pune, Maharashtra",floor east 202 pune city pune maharashtra,India,False
S1-101825314,S3-437393756,NOT_IN_CANDIDATES,Digital Consultants Private Limited,डिजिटल कंसल्टेंट्स प्राइवेट लिमिटेड,"Fl. E-202, Park Xpress, Baner Balewadi Link Road, Pune City, Pune, Maharashtra",floor east 202 park xpress baner balewadi link road pune city pune mh,India,False
S1-101825314,S2-174069132,NOT_IN_CANDIDATES,Digital Consultants Private Limited,डिजिटल कंसल्टेंट्स प्राइवेट लिमिटेड,"Fl. E-202, Park Xpress, Baner Balewadi Link Road, Pune City, Pune, Maharashtra",floor east 202 park xpress baner balewadi link road pune pune city महाराष्ट्र,India,False
S1-101825314,S2-308572854,NOT_IN_CANDIDATES,Digital Consultants Private Limited,digital कंसल्टेंट्स प्राइवेट लिमिटेड,"Fl. E-202, Park Xpress, Baner Balewadi Link Road, Pune City, Pune, Maharashtra",floor east 202 park xpress baner balewadi link road pune city maharashtra,India,False
S1-101939444,S3-31592812,NOT_IN_CANDIDATES,"Patel, Jewel, DPM, P.C.",patel jewcl dpm pc,"Unit Unit D, ND, 1965 Sheyenne Street, West Fargo",001965 sheyenne street west fargo north dakota,US,False
S1-102110524,S2-949900565,NOT_IN_CANDIDATES,Williams and Deguzman LLC,williams and deguzman llc partners,"220 4th Street, City Of New Richmond, WI",220 b 4th street new richmond wi,US,False
S1-102132206,S3-201830705,NOT_IN_CANDIDATES,International Consultants Private Limited,ఇంటర్నేషనల్ కన్సల్టెంట్స్ ప్రైవేట్ లిమిటెడ్,"8-2-293/82/L/1-B, Plot No.1-B, First Floor Mla Colony, Road No.12, Banjara Hills, Hyderabad, Telangana",8 2 293 82 l 1 b plot no1 b first floor mla colony road no12 banjara hills hyderabad tg,India,False
S1-102132206,S3-769321098,NOT_IN_CANDIDATES,International Consultants Private Limited,internationalconsultants com,"8-2-293/82/L/1-B, Plot No.1-B, First Floor Mla Colony, Road No.12, Banjara Hills, Hyderabad, Telangana",8 2 293 82 l 1 b plot no1 b first floor mla colony road no12 banjara hills hyderabad తెలంగాణ,India,False
S1-102132206,S2-853051976,NOT_IN_CANDIDATES,International Consultants Private Limited,international consultants prívate ltd,"8-2-293/82/L/1-B, Plot No.1-B, First Floor Mla Colony, Road No.12, Banjara Hills, Hyderabad, Telangana",b3 8 2 293 82 l 1 b plot no1 b first floor mla colony road no12 banjara hills andhra pradesh,India,False
S1-102132206,S2-797275382,NOT_IN_CANDIDATES,International Consultants Private Limited,ఇంటర్నేషనల్ కన్సల్టెంట్స్ ప్రైవేట్ లిమిటెడ్,"8-2-293/82/L/1-B, Plot No.1-B, First Floor Mla Colony, Road No.12, Banjara Hills, Hyderabad, Telangana",b3 8 2 293 82 l 1 b plot no1 b first floor mla colony road no12 banjara hills nampally andhra pradesh,India,False
S1-102132206,S3-482441682,NOT_IN_CANDIDATES,International Consultants Private Limited,international consultants pvt,"8-2-293/82/L/1-B, Plot No.1-B, First Floor Mla Colony, Road No.12, Banjara Hills, Hyderabad, Telangana",8 2 293 82 l 1 b plot no1 b first floor mla colony road no12 banjara hills hyderabad తెలంగాణ,India,False
S1-102132206,S3-564850306,NOT_IN_CANDIDATES,International Consultants Private Limited,international consultants pvt límited,"8-2-293/82/L/1-B, Plot No.1-B, First Floor Mla Colony, Road No.12, Banjara Hills, Hyderabad, Telangana",8 2 293 82 l 1 b plot no1 b first floor mla colony road no12 banjara hills hyderabad tg,India,False
S1-102420475,S2-551546797,NOT_IN_CANDIDATES,Lesley Stefan Silver Pimco,pimco lesley silver stefan,"18 Horse Hill Road, Brookville, NY",18 horse hill road ny brookville,US,False
S1-1026212,S3-569291835,NOT_IN_CANDIDATES,Om Constructions Private Limited,omconstructionscom,"Karnataka, Bangalore South, Bangalore, No 117, Bsk 3 Stage",no 117 north a bangalore south bangalore ka,India,False
S1-1026212,S3-343087938,NOT_IN_CANDIDATES,Om Constructions Private Limited,sri om construcmtons pvt ltd,"Karnataka, Bangalore South, Bangalore, No 117, Bsk 3 Stage",117 north a bangalore bangalore south ಕರ್ನಾಟಕ,India,False
S1-1026212,S3-909180303,NOT_IN_CANDIDATES,Om Constructions Private Limited,ಓಂ ಕನ್‌ಸ್ಟ್ರಕ್ಷನ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Karnataka, Bangalore South, Bangalore, No 117, Bsk 3 Stage",no 117 north a bangalore south bangalore ka,India,False
S1-1026212,S2-652135225,NOT_IN_CANDIDATES,Om Constructions Private Limited,ಓಂ ಕನ್‌ಸ್ಟ್ರಕ್ಷನ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Karnataka, Bangalore South, Bangalore, No 117, Bsk 3 Stage",117 bengaluru bangalore south ಕರ್ನಾಟಕ,India,False
S1-1026212,S2-276332979,NOT_IN_CANDIDATES,Om Constructions Private Limited,ಓಂ ಕನ್‌ಸ್ಟ್ರಕ್ಷನ್ಸ್ pvt ltd,"Karnataka, Bangalore South, Bangalore, No 117, Bsk 3 Stage",no 117 bsk 3 stage bengaluru karnataka,India,False
S1-102850150,S2-926313592,NOT_IN_CANDIDATES,Real Investments Private Limited,रियल इन्वेस्टमेंट्स प्राइवेट लिमिटेड,"H No.- 149, Kedl Ballabh Bari Gumanpura B-Ii, Kota, Rajasthan",no 209 h no 149 kota rajasthan,India,False
S1-102850150,S3-16080678,NOT_IN_CANDIDATES,Real Investments Private Limited,real pvt ltd partners,"H No.- 149, Kedl Ballabh Bari Gumanpura B-Ii, Kota, Rajasthan",h no 149 kota राजस्थान,India,False
S1-102850150,S2-336362969,NOT_IN_CANDIDATES,Real Investments Private Limited,रियल इन्वेस्टमेंट्स प्राइवेट लिमिटेड,"H No.- 149, Kedl Ballabh Bari Gumanpura B-Ii, Kota, Rajasthan",209 h no 149 kota राजस्थान,India,False
S1-103116233,S3-159969328,NOT_IN_CANDIDATES,Caia Debt Corp,caiadebt com,"2501 Q Street, Unit 212, Washington, DC",02501 q street 212 washington district of columbia,US,False
S1-103231023,S2-901134776,0.7376,Vrddhi Technical Associates,vrddhi technical associates corp,"Flatno.17, Seri Lingampally, Telangana, Tulip Tower, L&T, Serene County, Hyderabad, K.V.Rangareddy",,India,True
S1-103231023,S3-707633025,NOT_IN_CANDIDATES,Vrddhi Technical Associates,cirafayexylo aka vrddhi technical associates,"Flatno.17, Seri Lingampally, Telangana, Tulip Tower, L&T, Serene County, Hyderabad, K.V.Rangareddy",flatno 17 tulip tower l t serene county hyderabad seri lingampally k v rangareddy telangana,India,False
S1-103231023,S3-776749075,NOT_IN_CANDIDATES,Vrddhi Technical Associates,technicalvrddhiassociates com,"Flatno.17, Seri Lingampally, Telangana, Tulip Tower, L&T, Serene County, Hyderabad, K.V.Rangareddy",flatno 97 tulip tower l t serene county hyderabad k v rangareddy seri lingampally tg,India,False
S1-10326397,S3-218792324,NOT_IN_CANDIDATES,Harper Algonquin Corp,harper alg0nquin,"Louisville, KY, Unit 103, 13311 Vendetta Way",13311 vendetta way 103 louisville kentucky,US,False
S1-10326397,S3-632205065,NOT_IN_CANDIDATES,Harper Algonquin Corp,pyralum dba harper algonquin corp,"Louisville, KY, Unit 103, 13311 Vendetta Way",ky unit 103 louisville 13311 vendetta way,US,False
S1-103435388,S2-225343632,NOT_IN_CANDIDATES,Physical Therapy Group,physicaltherapygroupcom,"Unit C, LA, Houma, 736 Bayou Gardens Boulevard",736 bayuo gardens boulevard houma la,US,False
S1-103435388,S3-89509474,NOT_IN_CANDIDATES,Physical Therapy Group,physical,"Unit C, LA, Houma, 736 Bayou Gardens Boulevard",736 bayou gardens boulevard unit c houma la,US,False
S1-103435388,S2-102161375,NOT_IN_CANDIDATES,Physical Therapy Group,physical therapy,"Unit C, LA, Houma, 736 Bayou Gardens Boulevard",736 bayou gardens boulevard bayou cane la,US,False
S1-103776732,S2-118887443,NOT_IN_CANDIDATES,Tracie Posner Platinum Hub,the tracie posner platinum hub,"Huber Heights, OH, Unit 3B, 2003 Persimmon Way",2003 persimmon way tipp city oh,US,False
S1-103864343,S3-587440491,NOT_IN_CANDIDATES,Sree Investment Private Limited,શ્રી ઇન્વેસ્ટમેન્ટ પ્રાઇવેટ લિમિટેડ,"33, Vaibhav Bunglows-2, Near Sun-N-Step Club, Ghatlodiya, Ahmadabad City, Ahmedabad, Gujarat",house no 113 33 vaibhav bunglows 2 near sun north step club ghatlodiya ahmedabad ahmadabad city gj,India,False
S1-103864343,S2-64386835,NOT_IN_CANDIDATES,Sree Investment Private Limited,sree pvt ltd services,"33, Vaibhav Bunglows-2, Near Sun-N-Step Club, Ghatlodiya, Ahmadabad City, Ahmedabad, Gujarat",door no 0665 33 vaibhav bunglows 2 near sun north step club ghatlodiya ahmadabad city gujarat,India,False
S1-103864343,S2-538602459,NOT_IN_CANDIDATES,Sree Investment Private Limited,શ્રી ઇન્વેસ્ટમેન્ટ પ્રાઇવેટ લિમિટેડ,"33, Vaibhav Bunglows-2, Near Sun-N-Step Club, Ghatlodiya, Ahmadabad City, Ahmedabad, Gujarat",house no 0665 33 vaibhav bunglows 2 near sun north step club ghatlodiya ahmedabad ahmadabad city gujarat,India,False
S1-104115805,S2-630630925,NOT_IN_CANDIDATES,WK Datta Pvt Ltd,pvt wk dÁtta ltd,"Mumbai, 165/166, Hindustan Lever House, Maharashtra, Backbay Reclamation Mumbai",door no 711 hindustan lever house 165 166 mumbai backbay reclamation mumbai महाराष्ट्र,India,False
S1-104270710,S3-280080694,0.6626,Pink Engineering Associates,pink engineering associates,"B12/8, Karunamayee Housing Estate Salt Lake City, Kolkata, Kolkata, Howrah, West Bengal",plot 692 b12 8 north 24 parganas howrah wb,India,True
S1-104763614,S3-42882036,NOT_IN_CANDIDATES,Federal Network,federalnetwork com,"3425 Kings Road, Unit 308, Steger, IL",kings road 308 steger illinois,US,False
S1-104763614,S2-33763229,NOT_IN_CANDIDATES,Federal Network,federalnetwork com,"3425 Kings Road, Unit 308, Steger, IL",3425 kings road seger il,US,False
S1-105052482,S2-457465799,NOT_IN_CANDIDATES,Advanced Trading Products Inc,advanced inc products trading,"731 Bowman Street, South Bend, IN",bowman street south bend in,US,False
S1-105052482,S3-830894952,NOT_IN_CANDIDATES,Advanced Trading Products Inc,advanced trading products products,"731 Bowman Street, South Bend, IN",south bend indiana 731 bowman street,US,False
S1-105063663,S2-180506970,NOT_IN_CANDIDATES,Fortune Technologies Private Limited,ಫಾರ್ಚೂನ್ ಟೆಕ್ನಾಲಜೀಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No. 91/4, 102/3, Veeranna Palya, Nagawara Ring Rroad, Opp To Bel Corporat, Ion Office, Bangalore, Karnataka",no 91 4 102 3 veeranna palya nagawara ring rroad opposite to bel corporat ion office bengaluru karnataka,India,False
S1-105063663,S2-764166604,NOT_IN_CANDIDATES,Fortune Technologies Private Limited,ಫಾರ್ಚೂನ್ ಟೆಕ್ನಾಲಜೀಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No. 91/4, 102/3, Veeranna Palya, Nagawara Ring Rroad, Opp To Bel Corporat, Ion Office, Bangalore, Karnataka",no 91 4 102 3 veeranna palya nagawara ring rroad opposite to bel corporat ion office bengaluru karnataka,India,False
S1-10558675,S3-123134922,NOT_IN_CANDIDATES,Mutual Payroll Associates LLC,fluxcalosolio a k a mutual payroll associates llc,"753 Green Ridge Road, AL, Montgomery",753 green ridge road montgomery al,US,False
S1-105591050,S3-331680260,NOT_IN_CANDIDATES,Sky Management Private Limited,স্কাই ম্যানেজমেন্ট প্রাইভেট লিমিটেড,"53, B.L Mukherjee Road Nimta, Kolkata, Kolkata, Howrah, West Bengal",53 kolkata garia পশ্চিমবঙ্গ,India,False
S1-105591050,S3-502036316,NOT_IN_CANDIDATES,Sky Management Private Limited,স্কাই ম্যানেজমেন্ট প্রাইভেট লিমিটেড,"53, B.L Mukherjee Road Nimta, Kolkata, Kolkata, Howrah, West Bengal",53 b l mukherjee road nimta kolkata howrah garia wb,India,False
S1-105591050,S3-634928175,NOT_IN_CANDIDATES,Sky Management Private Limited,স্কাই ম্যানেজমেন্ট প্রাইভেট লিমিটেড,"53, B.L Mukherjee Road Nimta, Kolkata, Kolkata, Howrah, West Bengal",53 b l mukherjee road nimta kolkata howrah garia wb,India,False
S1-105591050,S2-778169008,NOT_IN_CANDIDATES,Sky Management Private Limited,স্কাই ম্যানেজমেন্ট প্রাইভেট লিমিটেড,"53, B.L Mukherjee Road Nimta, Kolkata, Kolkata, Howrah, West Bengal",956 53 rajarhat howrah west bengal,India,False
S1-105773308,S3-626561911,NOT_IN_CANDIDATES,"Rasmussen, Brooks & Crites Inc",rbc,"W8855 C, Town Of Orange, WI",wi town of orange w8855 c,US,False
S1-105773308,S3-255875894,0.7149,"Rasmussen, Brooks & Crites Inc",rasmussen brooks and,"W8855 C, Town Of Orange, WI",new lisbon wisconsin w8855 c,US,True
S1-105773308,S2-109643701,0.143,"Rasmussen, Brooks & Crites Inc",rasmussen brooks and crites inc,"W8855 C, Town Of Orange, WI",c new lisbon wi,US,True
S1-105773308,S3-106177750,NOT_IN_CANDIDATES,"Rasmussen, Brooks & Crites Inc",rasmussenbrooks com,"W8855 C, Town Of Orange, WI",w8855 c town of orange wisconsin,US,False
S1-106037419,S3-478967671,NOT_IN_CANDIDATES,Pediatric Health,pediatric health associates,"1012 Passamaquody Harbor, Fl 0, Pasadena, MD",,US,False
S1-106037419,S2-905104973,NOT_IN_CANDIDATES,Pediatric Health,pediatric hdglhh,"1012 Passamaquody Harbor, Fl 0, Pasadena, MD",1012 passamaquody harbor pasadena md,US,False
S1-10648369,S3-235395160,NOT_IN_CANDIDATES,"Fink, Emalia, L.C.S.W.",l c s w emlaai fink,"1612 Cavalier Court, Wheaton, IL",1612 d cavalier court null wheaton illinois,US,False
S1-106909510,S3-783186842,NOT_IN_CANDIDATES,St. Zion P.C.,st st zion pc,"IN, 3579 Harrison Street, Needham",3579 1 2 harrison street needham indiana,US,False
S1-106909510,S3-567587299,NOT_IN_CANDIDATES,St. Zion P.C.,st pc zion,"IN, 3579 Harrison Street, Needham",3579 1 2 harrison street needham indiana,US,False
S1-106909510,S3-536088924,NOT_IN_CANDIDATES,St. Zion P.C.,st zion llc,"IN, 3579 Harrison Street, Needham",3579 1 2 harrison street needham indiana,US,False
S1-107656645,S3-998173202,NOT_IN_CANDIDATES,Kennedy It Private Limited,kennedyit com,"Rajasthan, 301, Jaipur, Crown Plaza, Amrapali Marg Vaishali Nagar, Jaipur",301 jaipur rj,India,False
S1-108027841,S2-800948000,NOT_IN_CANDIDATES,LZN Technologies Private Limited,lzn techn0logies pvt ltd,"Samod House, Gangapole, Jaipur, Rajasthan",samod house gangapole jaipur राजस्थान,India,False
S1-10880399,S3-279133464,NOT_IN_CANDIDATES,Turner Holding Company,turner co center,"112 Lower Terrace Drive, NM, Ruidoso",11 lower terrace drive ruidoso new mexico,US,False
S1-108848809,S3-183238579,NOT_IN_CANDIDATES,Harriet's Chemical,ectoavi,"Rockford, 2816 Broadway, IL",2816 broadway rockford illinois,US,False
S1-109160749,S3-294317693,NOT_IN_CANDIDATES,Raj Investment Private Limited,രാജ് ഇൻവെസ്റ്റ്മെന്റ് പ്രൈവറ്റ് ലിമിറ്റഡ്,"2440/33 6Th Floor, Compass Building, Vysali Junction Palarivattom Vyttila Bypass Road Thamma, Nam P.O, Cochin, Kerala",കേരളം 2440 33 6th floor nam p o,India,False
S1-109160749,S3-951225460,NOT_IN_CANDIDATES,Raj Investment Private Limited,raj investment investment pvt ltd,"2440/33 6Th Floor, Compass Building, Vysali Junction Palarivattom Vyttila Bypass Road Thamma, Nam P.O, Cochin, Kerala",2440 33 6th floor kl cochin,India,False
S1-109275970,S2-622582004,NOT_IN_CANDIDATES,Ss Investment Limited,এসএস ইনভেস্টমেন্ট লিমিটেড,"C/O, Basanti Automobiles, Sreedurga Pally G.T. Road, Memari, Dist.-Purba Bardhaman, Bardhaman, West Bengal",c o basanti automobiles sreedurga pally g t road memari dist purba bardhaman bardhaman west bengal,India,False
S1-109275970,S2-599012349,NOT_IN_CANDIDATES,Ss Investment Limited,ssinvestment com,"C/O, Basanti Automobiles, Sreedurga Pally G.T. Road, Memari, Dist.-Purba Bardhaman, Bardhaman, West Bengal",c o basanti automobiles sreedurga pally g t road memari dist purba bardhaman bardhaman পশ্চিমবঙ্গ,India,False
S1-109275970,S2-944559453,NOT_IN_CANDIDATES,Ss Investment Limited,এসএস ইনভেস্টমেন্ট লিমিটেড,"C/O, Basanti Automobiles, Sreedurga Pally G.T. Road, Memari, Dist.-Purba Bardhaman, Bardhaman, West Bengal",c o basanti automobiles sreedurga pally g t road memari dist purba bardhaman bardhaman west bengal,India,False
S1-109601055,S2-152909339,NOT_IN_CANDIDATES,DSZ Tour Private Limited,dsz pvt ltd center,"Shrirang Chs Ltd, Swadeshi Mill Road Devratna Nagar, Chunabhatti, Near Relian, Ce, Maharashtra, Mumbai, 304/Bldg 2 B, Mumbai City",,India,False
S1-109647525,S2-657847322,NOT_IN_CANDIDATES,Dynamic Care Private Limited,dynamiccareprivate com,"C/O Mohinder Singh Shop No. 6 Opp. Ganga Dharmkanta, Haryana, Sirsa, Dabwali Ellanabad",c o mohinder singh shop no 6 opposite ganga dharmkanta dabwali ellanabad sirsa haryana,India,False
S1-109647525,S2-993912644,NOT_IN_CANDIDATES,Dynamic Care Private Limited,careprivate com,"C/O Mohinder Singh Shop No. 6 Opp. Ganga Dharmkanta, Haryana, Sirsa, Dabwali Ellanabad",c o mohinder singh shop no 6 opposite ganga dharmkanta sirsa haryana sirsa,India,False
